index_id,index_name,provider,index_category,duration_bucket,rating_bucket,rebalance_frequency,methodology_source,coverage_type,remarks
BICI001,Nifty Composite G-sec Index,NSE Indices,G-sec composite,Greater than 1 year residual maturity,Government securities,Not yet verified,https://www.niftyindices.com/indices/fixed-income/gsec-indices/nifty-composite-gsec,Partial,Pilot index; top 10 liquid GOI bonds; factsheet and methodology available; portfolio availability to be verified
BICI002,Nifty 4-8 yr G-Sec,NSE Indices,G-sec maturity bucket,4 to 8 years residual maturity,Government securities,Not yet verified,https://www.niftyindices.com/indices/fixed-income/gsec-indices/nifty-4-8-yr-gsec,Partial,Pilot index; top 3 liquid GOI bonds; factsheet and methodology available; no portfolio link observed on page snippet
BICI003,Nifty 8-13 yr G-Sec,NSE Indices,G-sec maturity bucket,8 to 13 years residual maturity,Government securities,Not yet verified,https://www.niftyindices.com/indices/fixed-income/gsec-indices/nifty-8-13-yr-gsec,Partial,Pilot index; top 3 liquid GOI bonds; factsheet and methodology available; no portfolio link observed on page snippet
BICI004,Nifty 3 Year SDL,NSE Indices,SDL maturity bucket,2.5 to 3.5 years residual maturity,State development loans,Monthly,https://www.niftyindices.com/indices/fixed-income/sdl-indices/nifty-3-year-sdl,Full,Pilot index; three states or UTs reviewed monthly; each selected state or UT receives equal weight; portfolio link available
BICI005,Nifty 5 Year SDL,NSE Indices,SDL maturity bucket,4.25 to 5.75 years residual maturity,State development loans,Monthly,https://www.niftyindices.com/indices/fixed-income/sdl-indices/nifty-5-year-sdl,Full,Pilot index; three states or UTs reviewed monthly; each selected state or UT receives equal weight; portfolio link available
BICI006,NIFTY 10 Year SDL Index,NSE Indices,SDL maturity bucket,About 10 years residual maturity,State development loans,Annual issuer selection; rebalance to verify,https://www.niftyindices.com/indices/fixed-income/sdl-indices/nifty-10-year-sdl-index,Full,Pilot index; top 14 states selected by previous-year primary issuance volume; portfolio link available
BICI007,NIFTY AAA Corporate Bond Indices,NSE Indices,Corporate bond duration series,Multiple duration buckets,AAA,Quarterly,https://www.niftyindices.com/indices/fixed-income/corporate-bond-indices/nifty-aaa-corporate-bond-indices,Full,Pilot family; six duration buckets plus residual variant; methodology and portfolio links available; issuer cap to verify as 10 percent from portfolio and methodology sources
BICI008,NIFTY AA+ Corporate Bond Indices,NSE Indices,Corporate bond duration series,Multiple duration buckets,AA+,Quarterly,https://www.niftyindices.com/indices/fixed-income/corporate-bond-indices/nifty-aaa-corporate-bond-indices/nifty-aa-corporate-bond-indices,Full,Pilot family; six duration buckets; methodology and portfolio links available; issuer cap to verify
BICI009,NIFTY Banking & PSU Bond Indices,NSE Indices,Banking and PSU bond duration series,Multiple duration buckets,A- and above,Quarterly,https://www.niftyindices.com/indices/fixed-income/corporate-bond-indices/nifty-banking-psu-bond-indices,Full,Pilot family; six duration buckets plus debt index and variants; portfolio and methodology links available; up to 14 issuers noted in NSE source
BICI010,Nifty SDL Dec 2028 Index,NSE Indices,Target maturity SDL,Portfolio maturing during twelve-month period ending Dec 29 2028,State development loans,Not yet verified,https://www.niftyindices.com/indices/fixed-income/target-maturity-index/nifty-sdl-dec-2028-index,Full,Pilot target maturity index; 13 states or UTs selected based on highest outstanding amount; equal SDL weights; portfolio and methodology links available
