scenario_id,index_id,index_segment,scenario_type,issuer_count,issuer_cap,assumed_weighting,rule_implied_hhi,rule_implied_effective_issuers,top_1_weight,top_3_weight,top_5_weight,top_10_weight,remarks
CAP001,BICI007,NIFTY AAA Ultra Short Duration Bond Index,Equal-weight constituent scenario,4,,Equal weight across visible issuers,0.2500,4.0000,0.2500,0.7500,1.0000,1.0000,Constituent-only scenario based on 4 visible issuers; not actual observed index weights
CAP002,BICI007,NIFTY AAA Low Duration Bond Index,Equal-weight constituent scenario,4,,Equal weight across visible issuers,0.2500,4.0000,0.2500,0.7500,1.0000,1.0000,Constituent-only scenario based on 4 visible issuers; not actual observed index weights
CAP003,BICI007,NIFTY AAA Short Duration Bond Index,Equal-weight constituent scenario,4,,Equal weight across visible issuers,0.2500,4.0000,0.2500,0.7500,1.0000,1.0000,Constituent-only scenario based on 4 visible issuers; not actual observed index weights
CAP004,BICI007,NIFTY AAA Medium Duration Bond Index,Equal-weight constituent scenario,4,,Equal weight across visible issuers,0.2500,4.0000,0.2500,0.7500,1.0000,1.0000,Constituent-only scenario based on 4 visible issuers from partial user-provided text; not actual observed index weights
CAP005,BICI007,NIFTY AAA Corporate Bond Indices,Issuer-cap floor scenario,10,0.10,Ten issuers at 10 percent each,0.1000,10.0000,0.1000,0.3000,0.5000,1.0000,Rule-implied low-concentration floor under a 10 percent issuer cap if exactly ten issuers are used at the cap
CAP006,BICI007,NIFTY AAA Corporate Bond Indices,Visible-issuer group concentration warning,7,0.10,Visible unique issuers only; weights unknown,,,0.1000,0.3000,0.5000,0.7000,Warning scenario: visible unique issuer universe is below ten for pasted extract; actual cap-compliant weights require additional issuers or missing segment rows
CAP007,BICI004,Nifty 3 Year SDL,Rule-implied equal-state scenario,3,,Three selected states or UTs at one-third each,0.3333,3.0000,0.3333,1.0000,1.0000,1.0000,SDL scenario based on stated three-state structure; not observed portfolio weights until constituents and weights are verified
CAP008,BICI005,Nifty 5 Year SDL,Rule-implied equal-state scenario,3,,Three selected states or UTs at one-third each,0.3333,3.0000,0.3333,1.0000,1.0000,1.0000,SDL scenario based on stated three-state structure; not observed portfolio weights until constituents and weights are verified
CAP009,BICI010,Nifty SDL Dec 2028 Index,Rule-implied equal-state scenario,13,,Thirteen selected states or UTs at one-thirteenth each,0.0769,13.0000,0.0769,0.2308,0.3846,0.7692,SDL target-maturity scenario based on stated 13-state structure; not observed portfolio weights until constituents and weights are verified
CAP010,BICI009,NIFTY Banking & PSU Ultra Short Duration Bond Index,Equal-weight visible-issuer scenario,15,,Equal weight across visible issuers,0.0667,15.0000,0.0667,0.2000,0.3333,0.6667,Constituent-only scenario based on visible Ultra Short bucket issuers; not actual observed index weights
CAP011,BICI009,NIFTY Banking & PSU Low Duration Bond Index,Equal-weight visible-issuer scenario,8,,Equal weight across visible issuers,0.1250,8.0000,0.1250,0.3750,0.6250,1.0000,Constituent-only scenario based on partial visible Low Duration bucket issuers; not actual observed index weights
